lambda [um]    flux [erg s^-1 cm^-3]    
1.3873815e-01  1.8909996e+08            
1.3880751e-01  1.8422992e+08            
1.3887693e-01  1.9099205e+08            
1.3894636e-01  1.7930024e+08            
1.3901584e-01  1.8479840e+08            
1.3908535e-01  1.7563389e+08            
1.3915489e-01  2.0006762e+08            
1.3922446e-01  1.6424458e+08            
1.3929408e-01  1.9024712e+08            
1.3936371e-01  2.0174222e+08            
1.3943340e-01  1.7154782e+08            
1.3950313e-01  2.0116274e+08            
1.3957287e-01  1.8982704e+08            
1.3964265e-01  1.8616225e+08            
1.3971247e-01  2.0566990e+08            
1.3978233e-01  1.8349447e+08            
1.3985222e-01  2.2239884e+08            
1.3992216e-01  2.1515637e+08            
1.3999210e-01  1.8608088e+08            
1.4006210e-01  1.9686567e+08            
1.4013213e-01  1.7646865e+08            
1.4020221e-01  2.1877915e+08            
1.4027231e-01  2.1302985e+08            
1.4034245e-01  1.7754269e+08            
1.4041262e-01  2.3178789e+08            
1.4048282e-01  2.3054770e+08            
1.4055306e-01  1.9662740e+08            
1.4062334e-01  2.4321196e+08            
1.4069366e-01  2.4620173e+08            
1.4076400e-01  2.4668935e+08            
1.4083438e-01  2.1550899e+08            
1.4090481e-01  1.7818815e+08            
1.4097524e-01  2.4951694e+08            
1.4104573e-01  2.2740297e+08            
1.4111625e-01  2.3200266e+08            
1.4118682e-01  2.5778754e+08            
1.4125740e-01  2.3558701e+08            
1.4132803e-01  2.2579628e+08            
1.4139870e-01  2.3577023e+08            
1.4146941e-01  2.2829612e+08            
1.4154013e-01  2.6747713e+08            
1.4161091e-01  2.4647190e+08            
1.4168171e-01  2.2067717e+08            
1.4175255e-01  2.5056604e+08            
1.4182343e-01  2.7847471e+08            
1.4189435e-01  2.3711408e+08            
1.4196530e-01  2.8890706e+08            
1.4203627e-01  2.8455801e+08            
1.4210728e-01  2.8952971e+08            
1.4217834e-01  2.9399590e+08            
1.4224943e-01  2.9689378e+08            
1.4232055e-01  2.5605221e+08            
1.4239173e-01  3.0435230e+08            
1.4246291e-01  2.7318100e+08            
1.4253414e-01  2.3755059e+08            
1.4260540e-01  2.8011302e+08            
1.4267672e-01  3.0497405e+08            
1.4274806e-01  3.1487059e+08            
1.4281942e-01  3.1802517e+08            
1.4289084e-01  3.1845647e+08            
1.4296228e-01  3.2043722e+08            
1.4303377e-01  3.1375093e+08            
1.4310529e-01  3.2454962e+08            
1.4317684e-01  3.3120950e+08            
1.4324842e-01  2.9609820e+08            
1.4332005e-01  2.6148726e+08            
1.4339171e-01  3.3073638e+08            
1.4346340e-01  3.2274924e+08            
1.4353514e-01  2.9741518e+08            
1.4360689e-01  3.4576866e+08            
1.4367870e-01  3.0842464e+08            
1.4375055e-01  3.4584309e+08            
1.4382242e-01  3.3781362e+08            
